"Class? (MATH 143, PSY 202, etc)",Book Title,Book Author,Edition,Link,ISBN
BIO 161,Lab Report Booklet,Professor Neal,1,https://drive.google.com/open?id=1MIdarIIZt2SDFsLkeygloMzORlp5H6sm,
BIO 213,Biology: The Essentials,Marielle Hoefnagels,3,https://drive.google.com/open?id=1vjveSXvPKATNZVOAJqH9n5D8Emm6VIK2,
BIO 222,A Natural History of California,"Shoenherr, Allan A",2nd,https://libgen.lc/ads.php?md5=7d850d9a0a6da568c98c0103e9374145,
BIO 222,Sibley’s Birding Basics,"Sibley, David Allen",,https://libgen.lc/ads.php?md5=d891a045175ecac0d33405a48196c798,
BIO 222,The California Naturalist Handbook,"Adina Merenlender, Deborah Stanger Edelman, and Greg de Nevers",1,https://drive.google.com/open?id=1Lp245Dt2VDPhk4x4Y2WNUkuHnANz2zoy,
BIO 227,An Introduction to Conservation Biology,Richard B. Primack and Anna A. Sher,2,https://drive.google.com/open?id=1GtmJhQUXqm7DLPDHryifMP3HKtn8DPV1,
BIO 227,Conservation Biology,"Bradley Cardinale, Richard Primack, James Murdoch",1,https://drive.google.com/open?id=1oCIhZSYzFKo6A00BCkmesh5Q-N60IuVJ,
BIO 302,Human Heredity,Michael Cummings,10,https://www.dropbox.com/s/chaav2pwd9cde9i/Human%20Heredity%20-%20Michael%20Cummings.pdf?dl=0,
BIO 321,Mammology,T. Vaughan,6th,http://library.lol/main/84914DCB55E1B0F980ADFE795EB7DAEC,9781284032093
BIO 336,Biology of the Invertebrates,Jan A. Pechenik,7,https://u1lib.org/book/5003784/753ff7?dsource=recommend,9780073524184
BIO 351,Essentials of Genetics,"William S. Klug, et al.",9th,https://b-ok.cc/book/3515281/bb8526,
BIO 351,Introduction to Genetic Analysis,Anthony J. F. Griffiths,,https://drive.google.com/open?id=1kEmaG8hQAwZP1FX9gWijmtyfQM0vbGJD,
BIO 351,Introduction to Genetic Analysis,"Griffiths, Anthony J.F.",11,https://drive.google.com/open?id=140NftMXr78W7Q5J69TbVBmnCbOdEGjtj,
